"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"q4fg","Indulge Teppanyaki & Grill House (31 Ah Hood Rd)","Japanese","4.6","(1000+)","Singapore",""
"v2qy","Celine's Gelato (Novena Regency)","Dessert","4.5","(17)","Singapore",""
"ubqd","Mangiano By CC (Novena Regency)","Italian","3.7","(12)","Singapore",""
"am3a","Al Hadheerah Express (Hdb Hub)","Indian","4.6","(74)","Singapore",""
"cy86","Rosdee Thai (Toa Payoh)","Thai","4.3","(25)","Singapore",""
"y1sg","Hua Fong Kee Roasted Duck (116 Toa Payoh Lorong 2)","Singaporean","4.6","(100+)","Singapore",""
"y7dr","Kai Le Korean Cuisine (Toa Payoh)","Japanese","4.7","(55)","Singapore",""
"okb0","Hong Fan Tian Mala Xiang Guo (Toa Payoh Lorong 6) - Islandwide Delivery","Chinese","5","(2)","Singapore",""
"uhtw","OTOU-SAN HOKKAIDO DONBURI (Zhongshan Mall)","Japanese","4.5","(100+)","Singapore",""
"yinw","WIKEDO WESTERN FOOD (KOUFU HDB HUB)","Western","4.4","(16)","Singapore",""
"pm70","Braddell H.K. Pastries (109 Lorong 1 Toa Payoh)","Cakes","4.6","(100+)","Singapore",""
"x4oe","Stackz (Zhongshan Mall)","Western","4.4","(100+)","Singapore",""
"pgmh","ThaiTai 泰太 X brand (20 Ah Hood Rd)","Asian","3","(20)","Singapore",""
"d3az","21 on Rajah (Aloft Singapore Novena)","Mediterranean","4.4","(27)","Singapore",""
"zp32","HanKki (Lor 6 Toa Payoh)- Islandwide Delivery","Korean","4.8","(46)","Singapore",""
"v8un","El Cocinero (Novena)","Mexican","4.5","(500+)","Singapore",""
"x4wt","La Café & Bar (Royal Square Novena)","Western","4.4","(100+)","Singapore",""
"ea03","Istimewa Nasi Padang (470 Toa Payoh)","4955 min","4.7","(100+)","Singapore",""
"x2hs","Turkish Kebab (Lorong 6 Toa Payoh)","Shawarma","4.3","(500+)","Singapore",""
"w5ov","Bari-Uma Ramen (Novena)","Ramen","4.8","(100+)","Singapore",""
"v9hj","470 Mini Wok (Lorong 7 Toa Payoh)","Chinese","4.6","(2000+)","Singapore",""
"y5kr","Pot Yummy Yummy (480 Toa Payoh Gourmet Paradise By Koufu)","Noodles","3.1","(19)","Singapore",""
"v8xy","ThaiLily Restaurant (Toa Payoh)","Thai","3.8","(500+)","Singapore",""
"w2sy","Mademoiselle Tang Noodle唐大小姐过桥米线 (Royal Square Novena)","Chinese","4.8","(1000+)","Singapore",""
"xa9p","The Coffee Affaire (Royal Square @ Novena)","Coffee","2.4","(5)","Singapore",""
"z2px","Rice Noodle Queen (Gourmet Paradise HDB Hub)","Noodles","3.8","(42)","Singapore",""
"s7oz","Sinn Ji Hainanese Chicken Rice (Thomson V)","Chicken Rice","4.5","(2000+)","Singapore",""
"sykq","Prawnography Novena Gardens ( THOMSON)","Hokkien Mee","3.7","(65)","Singapore",""
"t3xm","Chicken Hotpot (Novena)","Chinese","4.4","(100+)","Singapore",""
"v9eu","Thai'D Me Up (Bukit Timah Road)","Thai","4.7","(500+)","Singapore",""
"znf1","Steam Rice Kitchen 蒸有米 (Toa Payoh)","Asian","4.9","(28)","Singapore",""
"g6ay","SHINCHAN WESTERN FOOD (95 Lor 4 Toa Payoh)","Western","4","(92)","Singapore",""
"t0xx","Aroy Chatuchak (Toa Payoh Central)","Chicken","4.5","(100+)","Singapore",""
"i1yk","Ton Coffee (10 Sinaran Drive)","Vietnamese","4.7","(2)","Singapore",""
"v3pp","Xin Arginoko Japanese & Korean Cuisine (Toa Payoh)","Japanese","4.3","(100+)","Singapore",""
"zqpm","BBQ Seoul Shokudo (Velocity Novena Square)","Korean","3.8","(2)","Singapore",""
"x6cl","Fruits & Juices (Koufu 470 TPY)","Beverages","4.8","(70)","Singapore",""
"o166","Kim Keat Hokkien Mee (92 Toa Payoh Lorong 4)","Hokkien Mee","4.5","(12)","Singapore",""
"u8lk","Roselio's Kitchen (Toa Payoh)","Filipino","4","(1)","Singapore",""
"x1zc","Mun Zuk满粥 (Velocity@Novena Square)","Porridge","4.5","(1000+)","Singapore",""
"g4j2","THREE. by Garamika (Toa Payoh)","Grill","5","(38)","Singapore",""
"s2ny","Smiths Authentic British Fish & Chips (Bukit Timah Road)","Snacks","4.4","(1000+)","Singapore",""
"hvrw","Il Piccolo Pizzeria (Toa Payoh Central)","Pasta","3.9","(100+)","Singapore",""
"bsnj","Mentai-Ya Japanese Cuisine (Toa Payoh Central)","Rice Dishes","4.8","(100+)","Singapore",""
"m6i4","Maji Curry (10 Sinaran Drive)","Japanese","5","(63)","Singapore",""
"tcik","FAM Roasted (411 Balestier)","Chinese","4.8","(36)","Singapore",""
"w1pt","Macpherson Ah Liang BBQ Seafood (Balestier)","Seafood","4","(100+)","Singapore",""
"f1je","Heng Kee Teochew Porridge Rice (Toa Payoh)","Chinese","4.6","(500+)","Singapore",""
"v8ql","Rochor Beancurd House (Balestier)","Dessert","4.7","(1000+)","Singapore",""
"v3ii","TungLok Teahouse (Square 2)","Chinese","4.5","(100+)","Singapore",""
"v1kj","Lao Beijing (Square 2)","Chinese","4.5","(100+)","Singapore",""
"x2om","Meat You Here (Balmoral Plaza)","Western","4.6","(100+)","Singapore",""
"v9ru","Yuet Sing Seafood (Toa Payoh)","Chinese","3.9","(500+)","Singapore",""
"y7cf","Secret Recipe (HDB Hub)","Cakes","4.7","(100+)","Singapore",""
"p0bg","Ding Ji by Fei Siong Group (Toa Payoh 184)","Noodles","4.1","(100+)","Singapore",""
"nwfg","Xiao Pang Niu Korean (Novena Square)","Korean","3.1","(47)","Singapore",""
"x7hr","Uncle Fatt (Bukit Timah Road)","Fried Rice","4.3","(61)","Singapore",""
"jdps","Mr Grumpy Nasi Ayam (Lucky Plaza Nasi Ayam)","4950 min","4.8","(4)","Singapore",""
"xe2y","Aryan’s Grace Of India @ A Authentic Indian and Lebanese cuisine In Central area - Restaurant Delivery","Indian","1.8","(35)","Singapore",""
"k37k","Knockhouse Cafe (Yew Lian Park)","Seafood","2.7","(11)","Singapore",""
"w7kc","Ba Shu Jia Chang Cai (Balestier Market)","Chinese","4.7","(500+)","Singapore",""
"ao9i","Hadya’s Kebab & Grill Corner @ Thomson Road - Restaurant Delivery","Indian","3.4","(19)","Singapore",""
"x4ek","R&B Tea (United Square)","Bubble Tea","4.7","(500+)","Singapore",""
"y9lz","Hoshino Coffee (United Square)","Japanese","4.5","(100+)","Singapore",""
"x3gy","VIET LAP (United Square)","Pho","3.5","(100+)","Singapore",""
"dtei","The Clueless Goat Speciality Coffee House (Thomson Road)","Coffee","4.3","(41)","Singapore",""
"wwh2","Royal Spices & Curry Indian Muslim Food (Jalan Pemimpin)","Indian","4.3","(6)","Singapore",""
"x5vc","Cool Cup (Toa Payoh North)","Pancakes and Waffles","4.5","(100+)","Singapore",""
"eh8d","Fatboy's The Burger Bar (Upper Thomson) - Islandwide Delivery","American","4.2","(100+)","Singapore",""
"x7qi","Royal Biryani (Novena)","Indian","4.1","(500+)","Singapore",""
"l9hp","SOD Cafe (Upper Thomson)","Western","4.8","(100+)","Singapore",""
"v0yq","Hong Kong Day (Goldhill Shopping Centre)","Thai","4.5","(500+)","Singapore",""
"oczz","The Pakistani Briyani & Curry Culture/ Indian & Pakistani Restaurant (159 Thomson Rd) - Restaurant Delivery","Indian","3.3","(100+)","Singapore",""
"fhrx","Bombay Bites (Goldhill Shopping Centre) - Restaurant Delivery","Indian","2.4","(35)","Singapore",""
"w1bb","Proofer Bakery & Pizzeria (United Square)","Pizza","4.6","(100+)","Singapore",""
"zhio","Fukudon (Koufu @ Novena Square)","Rice Dishes","4.6","(65)","Singapore",""
"t602","New Ubin Seafood (MYMCA Stevens)","Chinese","4.2","(100+)","Singapore",""
"deid","Soul Of India @ North Indian, Middle Eastern Restaurant - Restaurant Delivery","Indian","2.5","(91)","Singapore",""
"jzxo","Nazeer Bhai Indian Muslim Food (73 Toa Payoh Lorong 4)","Indian","4.1","(100+)","Singapore",""
"rznf","Pot Yummy Yummy Lei Cha Pao Fan(Velocity@Novena Square)","Asian","3.9","(51)","Singapore",""
"xznz","Mint Leaf of Mumbai @United Square - Restaurant Delivery","Indian","2.9","(71)","Singapore",""
"us3u","Soup Dayz (United Square)","Soups","4.5","(100+)","Singapore",""
"o43y","Smoked Burgers By Dreamshop (Stevens Road)","American","2.9","(47)","Singapore",""
"pur9","The London Curry House (159 Thomson Rd) - Restaurant Delivery","Indian","2.7","(77)","Singapore",""
"q5o8","Royal Biryani (159 Thomson Rd)- Restaurant Delivery","Indian","3.3","(69)","Singapore",""
"eyyy","Pot Yummy Yummy Fish Soup Ban Mian(Velocity@Novena Square)","Asian","4.3","(9)","Singapore",""
"hmpv","FLAME N GRILL @ THOMSON ROAD/LEBANESE & INDIAN RESTAURANT - Restaurant Delivery","Indian","2","(54)","Singapore",""
"ezsn","Menya Aoi (United Square)","Japanese","4.7","(14)","Singapore",""
"zjuk","The Royal Afghan curry & Biryani Hub@Newton Road - Restaurant Delivery","Indian","2.4","(46)","Singapore",""
"g9to","4 EYES GUYS KITCHEN (UPPER THOMSON)","Chinese","4.2","(66)","Singapore",""
"obo1","Jai Thai Restaurant (Clover Way)","Seafood","4.7","(72)","Singapore",""
"w3sv","Xiang Dessert & Food 饗好吃 (Upper Thomson Road)","Chinese","4.5","(1000+)","Singapore",""
"s3uq","Balestier Bak Kut Teh (Balestier Road)","Bak Kut Teh","4.6","(3000+)","Singapore",""
"scg5","Ee Han Kuey Tiao Kai (Balestier Road)","Singaporean","4.5","(100+)","Singapore",""
"gh9u","Parivar - Vegetarian and Non Vegetarian Indian (Toa Payoh North)","Indian","3.7","(16)","Singapore",""
"s5be","TWB Pizza and Bar (Upper Thomson)","Pizza","4.4","(100+)","Singapore",""
"dxep","Wicked Wings (Bishan)","Fried Chicken","2.9","(40)","Singapore",""
"xkri","Vietnam Kitchen (Bishan)","Vietnamese","4.9","(7)","Singapore",""
"ymby","Biang Biang Noodles Xi An Famous Food (Shaw Plaza)","Chinese","2.9","(5)","Singapore",""
"im05","sibarita (9 Sin Ming Rd)","Mexican","4.7","(2)","Singapore",""
"hki1","Enjoy Eating House and Bar (Stevens)","Seafood","4.7","(89)","Singapore",""
"h8ok","WAH & STEVEN'S CORNER (UPPER THOMSON)","Dim Sum ","4","(17)","Singapore",""
"z08g","Ontama Don (Shaw Plaza)","Japanese","4.5","(20)","Singapore",""
"l9kj","Huolala Mala Specialist 火辣辣麻辣专家 (Upper Thomson)","Mala Xiang Guo","4.3","(500+)","Singapore",""
"pyfp","TwoBakeBoys (Shaw Plaza) - Islandwide Delivery","Dessert","5","(5)","Singapore",""
"bzpa","Hyderabad Authentic North Indian Restaurant (Toa Payoh)","Indian","4","(80)","Singapore",""
"p39t","Dongbei Mala Tang 东北麻辣烫 (Balestier)","Asian","4","(1)","Singapore",""
"x0kk","Loy Kee Best Chicken Rice (Balestier)","Chicken Rice","4.4","(500+)","Singapore",""
"v0ye","Daawat Tandoori Restaurant (Yew Lain Park)","Indian","4.3","(1000+)","Singapore",""
"wiar","Chong Qing Grilled Fish (Upper Thomson) - Islandwide Delivery","Chinese","4.6","(28)","Singapore",""
"xjsp","Hyderabad Bawarchi North Indian Cuisine (Toa Payoh North)","Indian","4.6","(29)","Singapore",""
"xmyg","Al-Julekha North Indian Cuisine (Toa Payoh North)","Indian","3.6","(95)","Singapore",""
"y2a0","Nam Kee Chicken Rice (200 Upper Thomson Road)","Chicken","4.4","(100+)","Singapore",""
"kyjn","Dongbei Chuan Cai 东北川菜 (Balestier Road)","Asian","4","(79)","Singapore",""
"laff","The Plant Food (Thomson V Two)","Vegetarian","4.4","(100+)","Singapore",""
"zu0e","Two Broke Guys (Bishan Street 12)","Cakes","4.6","(29)","Singapore",""
"zyrf","San Ren Xing (Thomson Plaza) - Islandwide Delivery","Chinese","3.3","(21)","Singapore",""
"v26v","Nana Curry (Thomson Plaza)","Chinese","3.4","(90)","Singapore",""
"qhqr","Indian Curry And Tandoor North Indian Mughlai (Toa Payoh North) - Restaurant Delivery","Indian","3.4","(47)","Singapore",""
"s503","Teochew Seafood White Meehoon (Toa Payoh Lorong 8)","Seafood","4.4","(84)","Singapore",""
"f3zg","Yen Izakaya 円居酒屋 (Thomson V Two)","Japanese","4.5","(100+)","Singapore",""
"cc1i","Mirch House North Indian Cuisine (Toa Payoh North) - Restaurant Delivery","Indian","4.4","(40)","Singapore",""
"yvf7","Paradise Biryani House -Indian Restaurant (978 Toa Payoh North) - Restaurant Delivery","Indian","2.5","(9)","Singapore",""
"lb8g","Banh Mi Bae (Balestier)","Korean","3.5","(13)","Singapore",""
"v1tg","The Roti Prata House (Upper Thomson Road)","Indian","4.4","(3000+)","Singapore",""
"x5as","Jing House Yong Tau Foo (Koufu Thomson Plaza)","Ban Mian","4.6","(100+)","Singapore",""
"faxs","Aher Soup 阿2煲靓汤 (Koufu Thomson Plaza)","Soups","4.6","(100+)","Singapore",""
"g508","Homewok (Thomson Plaza)","Chinese","4.2","(100+)","Singapore",""
"vjxq","Chop Steak Western Cuisine (Sin Ming)","Western","4.6","(100+)","Singapore",""
"krxz","ASTONS Specialities (Thomson Plaza)","Grill","4.4","(100+)","Singapore",""
"ppck","Swathi -North Indian Cuisine (978 Toa Payoh North) - Restaurant Delivery","Indian","3.9","(8)","Singapore",""
"wpfw","Hyderabad Bawarchi North Indian Cuisine (978 Toa Payoh North) - Restaurant Delivery","Indian","3.2","(19)","Singapore",""
"mk0d","CJ Fried Chicken (Balestier)","Chicken","4.7","(66)","Singapore",""
"oi2m","Wonton Mama (Thomson) - Islandwide Delivery","Thai","4.9","(8)","Singapore",""
"quxk","Al-Rabeca Restaurant (Kim Keat Road)","Indian","3.6","(95)","Singapore",""
"tk3p","HENG LONG TEOCHEW PORRIDGE (UPPER THOMSON RD)","Chinese","4.7","(96)","Singapore",""
"cei3","Parivar -Vegetarian and Non Vegetarian Indian (978 Toa Payoh North) - Restaurant Delivery","Indian","3.4","(30)","Singapore",""
"v2su","Tomyum Mama (Upper Thomson Road)","Thai","4.6","(2000+)","Singapore",""
"x7mk","Soon Hock Hokkien Mee (Sin Ming 23 Coffeeshop)","Noodles","4.6","(1000+)","Singapore",""
"w8rl","Siam Kitchen (SAFRA Toa Payoh)","Thai","4.1","(100+)","Singapore",""
"zeus","Newton Tian Xiang Big Prawn Noodle (Newton Food Centre)","Singaporean","4.1","(100+)","Singapore",""
"oxmi","Hyderabad Authentic North Indian Restaurant (Toa Payoh) - Restaurant Delivery","Indian","3.3","(78)","Singapore",""
"tlbn","Wine Mansion (Thomson Plaza)","Pizza","2.8","(4)","Singapore",""
"ycvw","AKBAR DARBAR INDIAN RESTAURANT (978 Toa Payoh North) - Restaurant Delivery","Indian","4","(17)","Singapore",""
"dksf","Newton Mee Goreng Streetall Goreng Combo Specialist (Newton Food Centre)","Indian","3.3","(26)","Singapore",""
"v3tx","Wang Cafe (Thomson Plaza)","Kaya Toast","4.3","(500+)","Singapore",""
"slrg","Pung Pung Kitchen (Sin Ming Road) - Islandwide Delivery","Chinese","2.9","(4)","Singapore",""
"cr37","Nhung Kitchen (Balestier Point)","Vietnamese","4.6","(100+)","Singapore",""
"eucd","Mr Doner Kebab (Thomson Plaza)","Turkish","4.8","(10)","Singapore",""
"mqd2","Sin Ming Roti Prata (24 Sin Ming Rd) - Islandwide Delivery","Sandwiches","2.9","(23)","Singapore",""
"g3vq","Tea Dojo (18 Toa Payoh Lorong 7)","Tea","4.5","(92)","Singapore",""
"l1gz","Hua Zai Roasted Duck (19 Toa Payoh)","Chinese","2.5","(14)","Singapore",""
"otsl","Odeon Beef Noodles (Food Junction - Junction 8)","Noodles","4.3","(66)","Singapore",""
"uq55","Wonderful La Mian Xiao Long Bao (Bishan)","Dim Sum ","4.8","(100+)","Singapore",""
"y2ny","Newton 51 (Newton Food Centre)","Hokkien Mee","4.2","(500+)","Singapore",""
"tjgv","Jiak Mee@Traditional Mee Hoon Kueh (Bishan Street 13)","Asian","2.9","(8)","Singapore",""
"npus","Sin Kee Chicken Rice (Bukit Timah Road)","Asian","4.8","(27)","Singapore",""
"f0vg","川香小厨 Chuan Xiang Xiao Chu (Toa Payoh BLK 22)","Chinese","4.7","(100+)","Singapore",""
"wmbz","Divine Chicken Pot (Food Junction - Junction 8)","Curry","4.7","(67)","Singapore",""
"x1rc","61 Curry Chicken (Whampoa Makan Place)","Curry","4.3","(70)","Singapore",""
"fzys","Newton Old Signboard 25 (Newton Food Centre)","Hokkien Mee","4.3","(100+)","Singapore",""
"p9sw","Seabay Delight (Food Junction - Junction 8)","Malaysian","3.8","(100+)","Singapore",""
"x1sq","Four Seasons Ching Teng (Toa Payoh Lorong 8)","Noodles","4.8","(45)","Singapore",""
"exmc","Yùng Yùng (Bishan Street 11)","Bubble Tea","5","(19)","Singapore",""
"e7wm","Patisserie G (Upper Thomson)","Cakes","4.9","(51)","Singapore",""
"ng56","Saybons (Junction 8) - Islandwide Delivery","Bakery","4.9","(23)","Singapore",""
"s6pe","Chef Recipe (Bishan)","Chicken","4.4","(1000+)","Singapore",""
"isxj","Fireyaki (Food Junction – Junction 8)","Western","4.9","(20)","Singapore",""
"s7pg","Han Bing (Serene Centre)","Dessert","4.1","(100+)","Singapore",""
"dpfv","Mata Thai (Bishan Street) - Islandwide Delivery","Thai","5","(12)","Singapore",""
"j2zu","Hokkaido-ya by Sushi Tei (Thomson Plaza)","Japanese","4.8","(98)","Singapore",""
"c8yx","212 DP Eatery (Tao Payoh Lorong)","Chinese","4","(100+)","Singapore",""
"czyv","Oyster Omelette & Carrot Cake (Kim Keat Palm Food Centre)","Cakes","4.6","(48)","Singapore",""
"f1ho","Yu Lok Fan Hin Fruit Juice (24 Sin Ming Road)","Beverages","4.5","(100+)","Singapore",""
"v4bo","Dian Xiao Er (Junction 8)","Chinese","4.7","(1000+)","Singapore",""
"xo5e","Kam's Roast (Junction 8)","Chinese","3.9","(86)","Singapore",""
"x5lw","Nyonya Curry Puff Cafe (Sin Ming)","Snacks","3.4","(66)","Singapore",""
"aqng","KL Claypot Rice 吉隆坡砂煲饭 (Toa Payoh)","Asian","4","(49)","Singapore",""
"szye","Kieuanh Quan Vietnamese Cuisine (Kim Keat)","Vietnamese","4.3","(46)","Singapore",""
"s3wg","Crown Bakery And Cafe (Crown Centre)","Western","4.2","(100+)","Singapore",""
"zpp9","Yumace (Bishan)","Western","4.3","(24)","Singapore",""
"t2no","Simmer Soup (Whampoa Makan Place)","Soups","4.6","(500+)","Singapore",""
"njzc","Putian Kitchen (Tai Ho Soon) (Food Junction - Junction 8)","Noodles","4.4","(78)","Singapore",""
"a7nr","Jiu Fu Seafood (Bishan Street 11)","Chinese","4.1","(100+)","Singapore",""
"t6xb","Sheng Seng Fried Prawn Noodle (Pek Kio Market & Food Centre)","Hokkien Mee","4.2","(100+)","Singapore",""
"t10b","JiangNan Wonton江南馄饨 (Orchard Food Market)","Chinese","4.2","(100+)","Singapore",""
"vez7","The Malayan Council (Winstedt)","Western","4.5","(29)","Singapore",""
"jxss","Daily Hot Mala Hot Pot Fried Rice 日日红红麻辣香锅炒饭 (Kim Keat Ave)","Asian","4.8","(13)","Singapore",""
"nmsg","Hom Aroy Thai Food (Coronation Plaza) - Islandwide Delivery","Thai","2.9","(7)","Singapore",""
"jdyr","My Cosy Corner (Bukit Timah Road)","Singaporean","4.8","(83)","Singapore",""
"j9jr","Krua Thip Thai Kitchen (Owen Road)","Seafood","4.7","(6)","Singapore",""
"x7ig","Yong Ji Dim Sum (Whampoa Drive)","Dim Sum ","4.6","(100+)","Singapore",""
"lu9i","Thai Noodle House (Coronation Arcade)","Thai","4.1","(33)","Singapore",""
"ck5o","Noodle Affair (Kim Keat Ave)","Chinese","5","(1)","Singapore",""
"dtbm","Food Mapping Agar Agar Cakes (Coronation Shopping Plaza)","Cakes","4.5","(4)","Singapore",""
"p5vx","Bao Tang Zhi Dao (Whampoa Drive)","Soups","4.8","(100+)","Singapore",""
"b3ho","Beauty Nutritious Soup (Food Junction - Junction 8)","Soups","4.4","(500+)","Singapore",""
"e6ah","G.I Fresh Fruit Juice (Pek Kio Market & Food Centre)","Beverages","4.3","(100+)","Singapore",""
"tamm","Chef Wang Fried Rice 王厨炒饭 (Pek Kio Market and Food Centre)","Fried Rice","4.7","(65)","Singapore",""
"he4g","Bro's BBQ (Toa Payoh)","Malaysian","2.2","(29)","Singapore",""
"fi3z","Mr Owl's Food (Claymore Connect)","Chinese","4.3","(100+)","Singapore",""
"mhys","Korat Thai Cafe (Orchard Road)","Thai","4.8","(16)","Singapore",""
"s5ue","Pondok Jawa Timur (Far East Plaza)","Indonesian","4.5","(1000+)","Singapore",""
"v9to","Baker & Cook (Hillcrest Road)","Bakery","4.6","(100+)","Singapore",""
"y6kl","Max's Restaurant (Far East Plaza)","Filipino","4.5","(1000+)","Singapore",""
"v8vp","Wang Xing Mala Kitchen (Far East Plaza)","Chinese","4.3","(500+)","Singapore",""
"r8wu","Indo Rasa (Far East Plaza)","Indonesian","4.8","(53)","Singapore",""
"csyh","Siam Smith (Palais Renaissance)","Chicken","4.5","(14)","Singapore",""
"kq60","Golden Mile Mookata (Orchard Road)","Thai","1.9","(2)","Singapore",""
"x1zd","House Of Ban Mian And Fish Soup (Toa Payoh)","Soups","4.5","(500+)","Singapore",""
"gx6i","Sherlyn & Co Patisseries (Far East Plaza)","Dessert","5","(8)","Singapore",""
"v4os","New Station Snack Bar (Far East Plaza)","Chinese","4.7","(100+)","Singapore",""
"s1r5","Brewerkz (Orchard Rendezvous Hotel) - Islandwide Delivery","Western","5","(1)","Singapore",""
"s8rm","Choupinette (Bukit Timah Road)","Mexican","3.5","(100+)","Singapore",""
"r8ql","Cahaya Restaurant (Orchard) - Islandwide Delivery","Asian","4","(62)","Singapore",""
"v1gx","Greenview Cafe (Far East Plaza)","Singaporean","4.5","(100+)","Singapore",""
"w7hs","Ofira Amazing Thai Food (Far East Plaza)","Thai","4.2","(100+)","Singapore",""
"dknv","Ice Lab (Far East)","Korean","5","(5)","Singapore",""
"y2he","All About Tiramisu (Far East Plaza)","Cakes","4.3","(52)","Singapore",""
"ui42","Mr Holmes Bakehouse (Pacific Plaza)","Bakery","4.5","(22)","Singapore",""
"pq7r","Lele Mala Hot Pot 叻叻麻辣香锅 (Claymore Drive)","Chinese","4.4","(100+)","Singapore",""
"w1ff","Rubato Italian (Greenwood Avenue)","Pizza","4.5","(100+)","Singapore",""
"vl7f","Puncak Best Noodle (Far East Plaza)","Chinese","4.9","(100+)","Singapore",""
"v0ny","Hi Tea (Far East Plaza)","Beverages","4.9","(100+)","Singapore",""
"v5be","Caffe Zeppin (Sin Ming Lane)","Japanese","4.7","(500+)","Singapore",""
"tzt0","CHIPPY British Take Away (Far East Plaza)","Seafood","2.6","(11)","Singapore",""
"cqkx","Nana Thai Restaurant (Far East Plaza) - Islandwide Delivery","Thai","4.9","(7)","Singapore",""
"y6zl","Merci Marcel (Palais Renaissance)","French","4.8","(100+)","Singapore",""
"s6k4","Mui Kee Congee (Shaw Centre) - Islandwide Delivery","Chinese","4.3","(93)","Singapore",""
"e2zb","Daizu Cafe (Rangoon Road)","Japanese","4.6","(500+)","Singapore",""
"hh2b","Paris Van Java (Orchard Road)","Indonesian","4.7","(88)","Singapore",""
"qd58","Egg Stop (Rangoon Road) - Islandwide Delivery","Sandwiches","4.7","(76)","Singapore",""
"b0gh","Kim Hin Seafood (Bishan Street 22)","Chinese","4","(100+)","Singapore",""
"cxaw","Sizzling Pares (Lucky Plaza)","Filipino","4","(63)","Singapore",""
"jmgd","Wong Kee Kway Teow & Fish Soup (McNair Road)","Chinese","4.4","(7)","Singapore",""
"y1nw","London Fat Duck (Scotts Square)","Chinese","4.5","(500+)","Singapore",""
"dea9","Luke's Lobster (Orchard) - Islandwide Delivery","Sandwiches","4.5","(33)","Singapore",""
"w3bu","Jia Bin Klang Bak Kut Teh (Rangoon Road)","Bak Kut Teh","4.5","(100+)","Singapore",""
